id,item_id,boss_id
1,29755,17257
2,28826,19044
3,28775,17257
4,28802,19044
5,28827,19044
6,32385,17257
7,29754,17257
8,29458,17257
9,29753,17257
10,28776,17257
11,28794,19044
12,28810,19044
13,29766,19044
14,28779,17257
15,28828,19044
16,29763,19044
17,28778,17257
18,28803,19044
19,29764,19044
20,28774,17257
21,28781,17257
22,28782,17257
23,28825,19044
24,28830,19044
25,28780,17257
26,28795,19044
27,28804,19044
28,28796,19044
29,28797,19044
30,29762,19044
31,28800,19044
32,29767,19044
33,28822,19044
34,28783,17257
35,29765,19044
36,28801,19044
37,28824,19044
38,28789,17257
39,28823,19044
40,28799,19044
41,28777,17257
